ip,timestamp,url,protocol,status,bytes,referrer,user_agent,hour,day_of_week,minute,url_path_depth,protocol_HTTP/1.0,protocol_HTTP/1.1,status_type,status_client_error,status_server_error,status_success,method_GET,method_HEAD,method_OPTIONS,method_POST,has_referrer,is_bot,browser_chrome,browser_firefox,browser_other,browser_safari,browser_wordpress
172.70.230.7,2024-10-19 01:03:15,/404.php,HTTP/1.1,404,489,-,-,1,5,3,1,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
162.158.63.52,2024-10-19 01:03:15,/wp-configs.php,HTTP/1.1,404,489,-,-,1,5,3,1,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
172.70.115.200,2024-10-19 01:03:15,/simple.php,HTTP/1.1,404,489,-,-,1,5,3,1,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
172.70.230.7,2024-10-19 01:03:15,/themes.php,HTTP/1.1,404,489,-,-,1,5,3,1,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
172.70.230.7,2024-10-19 01:03:15,/ini.php,HTTP/1.1,404,489,-,-,1,5,3,1,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
162.158.63.52,2024-10-19 01:03:15,/autoload_classmap.php,HTTP/1.1,404,489,-,-,1,5,3,1,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
172.70.110.31,2024-10-19 01:03:15,/as.php,HTTP/1.1,404,489,-,-,1,5,3,1,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
172.70.110.31,2024-10-19 01:03:16,/admin/upload/css.php,HTTP/1.1,404,489,-,-,1,5,3,3,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
172.70.110.31,2024-10-19 01:03:16,/.well-known/pki-validation/afnew.php,HTTP/1.1,404,489,-,-,1,5,3,3,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
172.70.115.200,2024-10-19 01:03:16,/lufix.php,HTTP/1.1,404,489,-,-,1,5,3,1,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
172.70.115.200,2024-10-19 01:03:16,/media.php,HTTP/1.1,404,489,-,-,1,5,3,1,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
162.158.63.52,2024-10-19 01:03:16,/contact.php,HTTP/1.1,404,489,-,-,1,5,3,1,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
162.158.158.139,2024-10-19 01:03:16,/byp.php,HTTP/1.1,404,489,-,-,1,5,3,1,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
172.70.115.200,2024-10-19 01:03:16,/upload.php,HTTP/1.1,404,489,-,-,1,5,3,1,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
172.70.230.7,2024-10-19 01:03:16,/wp-content/themes/sketch/404.php,HTTP/1.1,404,489,-,-,1,5,3,4,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
172.70.115.200,2024-10-19 01:03:16,/test.php,HTTP/1.1,404,489,-,-,1,5,3,1,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
172.70.115.200,2024-10-19 01:03:16,/cong.php,HTTP/1.1,404,489,-,-,1,5,3,1,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
162.158.63.52,2024-10-19 01:03:16,/about/function.php,HTTP/1.1,404,489,-,-,1,5,3,2,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
172.70.230.7,2024-10-19 01:03:17,/filemanager/dialog.php,HTTP/1.1,404,489,-,-,1,5,3,2,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
172.70.115.200,2024-10-19 01:03:17,/bak.php,HTTP/1.1,404,489,-,-,1,5,3,1,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
162.158.158.139,2024-10-19 01:03:17,/wp-info.php,HTTP/1.1,404,489,-,-,1,5,3,1,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
162.158.158.139,2024-10-19 01:03:17,/files/index.php,HTTP/1.1,404,489,-,-,1,5,3,2,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
162.158.158.139,2024-10-19 01:03:17,/css.php,HTTP/1.1,404,489,-,-,1,5,3,1,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
162.158.158.139,2024-10-19 01:03:17,/css/index.php,HTTP/1.1,404,489,-,-,1,5,3,2,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
172.70.230.7,2024-10-19 01:03:17,/wp-includes/bak.php,HTTP/1.1,404,489,-,-,1,5,3,2,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
162.158.154.86,2024-10-19 01:03:17,/alfa-rex.php7,HTTP/1.1,404,489,-,-,1,5,3,1,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
162.158.158.139,2024-10-19 01:03:17,/wp-admin/wp-login.php,HTTP/1.1,404,489,-,-,1,5,3,2,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
172.70.110.31,2024-10-19 01:03:17,/wp-includes/cloud.php,HTTP/1.1,404,489,-,-,1,5,3,2,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
172.70.230.7,2024-10-19 01:03:18,/wp-content/index.php,HTTP/1.1,200,202,-,-,1,5,3,2,False,True,success,False,False,True,True,False,False,False,0,0,False,False,True,False,False
162.158.63.52,2024-10-19 01:03:18,/readme.php,HTTP/1.1,404,489,-,-,1,5,3,1,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
162.158.158.139,2024-10-19 01:03:18,/wp-admin/about.php,HTTP/1.1,302,445,-,-,1,5,3,2,False,True,server_error,False,True,False,True,False,False,False,0,0,False,False,True,False,False
172.70.110.31,2024-10-19 01:03:18,/wp-content/themes/404.php,HTTP/1.1,404,489,-,-,1,5,3,3,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
172.70.115.200,2024-10-19 01:03:18,/wp-admin/index.php,HTTP/1.1,302,445,-,-,1,5,3,2,False,True,server_error,False,True,False,True,False,False,False,0,0,False,False,True,False,False
172.70.230.7,2024-10-19 01:03:18,/wp-content/themes.php,HTTP/1.1,404,489,-,-,1,5,3,2,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
162.158.158.139,2024-10-19 01:03:18,/wp-content/dropdown.php,HTTP/1.1,404,489,-,-,1,5,3,2,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
172.70.115.200,2024-10-19 01:03:18,/wp-includes/404.php,HTTP/1.1,404,489,-,-,1,5,3,2,False,True,client_error,True,False,False,True,False,False,False,0,0,False,False,True,False,False
